,variables,clauses,fitness,duration
0,100,150,3885,4.681043805
1,100,150,3813,4.679014928
2,100,150,4188,4.616523013
3,100,150,4160,4.86608807
4,100,150,3023,4.843148205
5,100,150,3080,4.996610479
6,100,150,-1,4.728088044
7,100,150,4044,4.704994468
8,100,150,3649,4.675513336
9,100,150,3545,4.534252712
10,100,150,3361,4.6210330840000005
11,100,150,4274,4.66211314
12,100,150,3216,4.631571095
13,100,150,4220,4.68348788
14,100,150,4031,4.861774595
15,100,150,4105,4.877011878999999
16,100,150,4077,4.836063364
17,100,150,4030,4.699695874
18,100,150,4028,4.799021677
19,100,150,4061,4.598146978
20,100,150,-2,4.358381802
21,100,150,4331,4.419177992
22,100,150,3495,4.5935587689999995
23,100,150,3568,4.656454098999999
24,100,150,3630,4.577107709
25,100,150,4053,4.691057814
26,100,150,4102,4.868081007
27,100,150,3987,4.636270645
28,100,150,4201,4.600678706
29,100,150,4067,4.848205763
30,100,150,3565,4.955875309
31,100,150,3941,4.536613851
32,100,150,3986,4.592227981000001
33,100,150,3001,4.401100335
34,100,150,4330,4.510660787
35,100,150,4328,4.694112286
36,100,150,3779,4.789817558999999
37,100,150,3585,4.756606075
38,100,150,3205,4.446617515
39,100,150,3343,4.716959932
40,100,150,4009,4.792419502
41,100,150,3678,4.527914093
42,100,150,3551,4.913779687
43,100,150,3312,4.572156857
44,100,150,4211,4.753774817
45,100,150,-1,4.423921868
46,100,150,4018,4.7149073260000005
47,100,150,3626,4.504283765
48,100,150,3563,4.940505389
49,100,150,3577,4.832078858
50,100,150,4618,4.777336849
51,100,150,3214,4.497751041
52,100,150,3430,4.534036454
53,100,150,3976,4.7297763260000005
54,100,150,3493,4.72361371
55,100,150,3955,4.676574737
56,100,150,4048,4.425651716
57,100,150,3871,4.591601669
58,100,150,4184,4.621742783
59,100,150,3151,4.678500896
60,100,150,3449,4.515935546000001
61,100,150,3856,4.718225534
62,100,150,-1,4.332777353
63,100,150,4631,4.818674926
64,100,150,3935,4.688972229
65,100,150,3973,4.708904036
66,100,150,3974,4.710778306
67,100,150,3816,4.6614791680000005
68,100,150,4338,4.759872636
69,100,150,4078,4.729677533
70,100,150,3777,4.711968553
71,100,150,4579,4.739949667
72,100,150,4312,4.869488427
73,100,150,4151,4.7337637930000005
74,100,150,3935,4.743608691
75,100,150,3863,4.429117785
76,100,150,3666,4.583816142
77,100,150,3924,4.448817153
78,100,150,-1,4.5263016160000005
79,100,150,4103,4.695798606
80,100,150,4142,4.752992536
81,100,150,3669,4.582314672
82,100,150,4028,4.511255857
83,100,150,4044,4.47677219
84,100,150,3515,4.696616894
85,100,150,4453,4.662969337
86,100,150,3527,4.74926516
87,100,150,4191,4.806640462
88,100,150,4173,4.5913092660000006
89,100,150,3932,4.655853887
90,100,150,-1,4.423295601
91,100,150,3252,4.848729432
92,100,150,3879,4.771874712
93,100,150,3723,4.701568633
94,100,150,3836,4.209016279
95,100,150,4303,4.70827289
96,100,150,3513,4.502396815
97,100,150,4500,5.042212844
98,100,150,3543,4.919658537
99,100,150,4149,4.740317481
