,variables,clauses,fitness,duration
0,100,150,3465,2.9244256870000003
1,100,150,3588,2.9068259089999997
2,100,150,3440,2.902719934
3,100,150,3517,3.04281111
4,100,150,-1,3.23856591
5,100,150,-1,3.333057448
6,100,150,-1,3.111683957
7,100,150,3651,2.878454314
8,100,150,2967,2.8734271469999997
9,100,150,2603,2.774960188
10,100,150,2062,2.870564116
11,100,150,3627,3.370979063
12,100,150,-1,2.994123342
13,100,150,3891,2.818660893
14,100,150,3220,3.102171673
15,100,150,3827,2.9662617489999996
16,100,150,3741,3.184418108
17,100,150,3641,2.938378502
18,100,150,3723,3.036847725
19,100,150,3960,2.9410229510000003
20,100,150,-2,2.774668291
21,100,150,3628,2.807994267
22,100,150,2878,2.789196421
23,100,150,2887,2.920852521
24,100,150,3362,2.9434689240000003
25,100,150,3390,2.957017164
26,100,150,3769,2.9825463180000003
27,100,150,3603,2.958368845
28,100,150,2842,2.937423632
29,100,150,3807,3.000010606
30,100,150,3300,2.991917328
31,100,150,3759,3.045465345
32,100,150,3375,2.91261675
33,100,150,-1,2.6941380169999998
34,100,150,3876,2.881782401
35,100,150,3918,2.8681727410000004
36,100,150,3286,3.021265192
37,100,150,2612,2.9548748060000003
38,100,150,2428,2.8849143710000003
39,100,150,2807,2.885601105
40,100,150,3594,2.9953745960000004
41,100,150,3357,2.9628360739999997
42,100,150,3466,3.109749938
43,100,150,3018,2.999904602
44,100,150,3947,3.09338029
45,100,150,-1,3.044974479
46,100,150,3396,3.005416784
47,100,150,3412,2.872542909
48,100,150,2509,2.9560676010000004
49,100,150,3090,2.850899678
50,100,150,4316,2.932672557
51,100,150,3161,2.964210902
52,100,150,-1,2.794662088
53,100,150,3632,2.979957075
54,100,150,2869,2.975644313
55,100,150,3234,2.911945565
56,100,150,3374,2.7163681989999997
57,100,150,3117,2.861552713
58,100,150,3585,2.96060265
59,100,150,-1,2.950979461
60,100,150,2368,2.819748067
61,100,150,3516,2.947487195
62,100,150,-1,2.780358234
63,100,150,4183,2.982519607
64,100,150,3842,2.979104674
65,100,150,3765,2.97680307
66,100,150,3598,3.03981454
67,100,150,3440,2.8804751860000004
68,100,150,4131,3.071048102
69,100,150,3850,2.94406774
70,100,150,3570,2.9811886139999997
71,100,150,3763,2.9486091539999997
72,100,150,3667,2.978694398
73,100,150,3709,2.95418077
74,100,150,2984,2.831019895
75,100,150,3656,2.860109622
76,100,150,3582,2.848779323
77,100,150,3019,2.74473749
78,100,150,-1,2.8337540710000004
79,100,150,3472,3.041800259
80,100,150,3803,3.090024505
81,100,150,3524,2.92861171
82,100,150,3783,3.026206194
83,100,150,3591,2.8112775869999997
84,100,150,3001,2.929705087
85,100,150,4181,2.9915227069999997
86,100,150,2527,2.9783751339999998
87,100,150,3760,2.9806418110000004
88,100,150,3949,2.8866982130000003
89,100,150,3873,2.9364187939999997
90,100,150,-2,2.799300315
91,100,150,3134,2.9724280060000003
92,100,150,3224,3.12383678
93,100,150,2965,2.8801606769999997
94,100,150,3437,2.8348524910000004
95,100,150,3955,3.1413671589999996
96,100,150,3196,3.0272128130000002
97,100,150,4218,3.16621983
98,100,150,2833,2.988819733
99,100,150,3974,3.4654275310000004
