,variables,clauses,fitness,duration
0,100,150,4109,5.23745461
1,100,150,3867,5.182852929
2,100,150,4225,5.2961810819999995
3,100,150,4172,5.508486245
4,100,150,3405,5.036385066999999
5,100,150,3398,5.223867865
6,100,150,-1,5.070737408
7,100,150,4158,5.135829881
8,100,150,3687,5.105900593
9,100,150,3619,5.132344037
10,100,150,3451,5.160660602
11,100,150,4274,5.341665206
12,100,150,3405,5.1464027219999995
13,100,150,4236,5.057098178
14,100,150,4182,5.452251772
15,100,150,4105,5.235364457
16,100,150,4183,5.376685277000001
17,100,150,4101,5.184527879
18,100,150,4028,5.334414364
19,100,150,4075,5.16760599
20,100,150,-2,4.92389701
21,100,150,4370,5.028887936
22,100,150,3584,5.118276935
23,100,150,3816,5.273327201
24,100,150,3749,5.1569823139999995
25,100,150,4053,5.29297985
26,100,150,4102,5.484607919
27,100,150,4069,5.130167667
28,100,150,4382,5.638569395
29,100,150,4075,5.6343195470000005
30,100,150,3565,5.43333762
31,100,150,4012,5.38830857
32,100,150,3986,5.4011892260000005
33,100,150,3194,5.0501478639999995
34,100,150,4330,5.524556523999999
35,100,150,4462,5.6706705170000005
36,100,150,3911,5.707404505
37,100,150,3789,5.432670547000001
38,100,150,3239,4.989736565
39,100,150,3354,5.312048925
40,100,150,4062,5.379299558
41,100,150,3713,5.149330354
42,100,150,3551,5.452219778
43,100,150,3587,5.178816726
44,100,150,4283,5.536825706
45,100,150,2826,5.164210976000001
46,100,150,4105,5.313814471000001
47,100,150,3626,5.118910365
48,100,150,3731,5.370174634
49,100,150,3934,5.158981874
50,100,150,4618,5.327118998
51,100,150,3214,5.07751296
52,100,150,3576,5.086702955
53,100,150,4089,5.347010455
54,100,150,3618,5.364803296
55,100,150,4118,5.166247127
56,100,150,4048,5.029928092
57,100,150,3940,5.184181665
58,100,150,4191,5.3016097890000005
59,100,150,3534,5.1906170519999995
60,100,150,3648,5.171701506000001
61,100,150,3864,5.173344838999999
62,100,150,-1,4.971575371
63,100,150,4631,5.423281421
64,100,150,3935,5.382025056
65,100,150,3973,5.25768287
66,100,150,3980,5.358515142
67,100,150,3878,5.256095183
68,100,150,4338,5.394184447000001
69,100,150,4150,5.283131115
70,100,150,3860,5.247197684
71,100,150,4644,5.548389007000001
72,100,150,4395,5.344548471
73,100,150,4179,5.480205811
74,100,150,4110,5.170342968
75,100,150,3993,5.1101795039999995
76,100,150,3666,5.021798408
77,100,150,3985,5.079758049
78,100,150,-1,4.928487626
79,100,150,4168,5.3945891790000005
80,100,150,4232,5.272517487
81,100,150,3765,5.286812031
82,100,150,4053,5.236594392
83,100,150,4044,5.1262822439999995
84,100,150,3612,5.339255222
85,100,150,4457,5.209349706
86,100,150,3743,5.4808184760000005
87,100,150,4206,5.281779391000001
88,100,150,4230,5.258342206
89,100,150,3932,5.200934104
90,100,150,-1,5.052506108
91,100,150,3278,5.288337673
92,100,150,3923,5.516135007999999
93,100,150,3879,5.254956597
94,100,150,3901,4.851239338
95,100,150,4382,5.219594866
96,100,150,3513,5.20453315
97,100,150,4500,5.375152618
98,100,150,3662,5.366259502
99,100,150,4149,5.181908258
