,variables,clauses,fitness,duration
0,100,150,3509,1.8879099999999998
1,100,150,3437,1.7267292630000002
2,100,150,3381,1.703559562
3,100,150,3820,1.739827508
4,100,150,2647,1.674236116
5,100,150,3252,1.7071771059999998
6,100,150,3432,1.746506296
7,100,150,-1,1.641050086
8,100,150,3871,1.68885104
9,100,150,-1,1.719057017
10,100,150,-1,1.635161734
11,100,150,4390,1.794267557
12,100,150,3205,1.9783925569999998
13,100,150,3617,1.7408907729999998
14,100,150,-1,1.806668264
15,100,150,2455,1.671391017
16,100,150,3043,1.7786796150000002
17,100,150,4443,2.271068703
18,100,150,3077,1.786488525
19,100,150,3290,1.8074828459999999
20,100,150,-1,1.6836898340000002
21,100,150,3112,1.772186693
22,100,150,3711,1.819940827
23,100,150,-1,1.739187363
24,100,150,2162,1.749341995
25,100,150,3629,1.806621599
26,100,150,-1,1.917424494
27,100,150,3479,1.853078608
28,100,150,3000,1.8095043069999999
29,100,150,3472,1.959038441
30,100,150,3340,1.767900016
31,100,150,3599,1.9079895569999998
32,100,150,-1,1.7670615580000002
33,100,150,3731,1.7105064410000002
34,100,150,3822,1.8010167259999998
35,100,150,3894,1.69260668
36,100,150,3149,1.7048896690000002
37,100,150,3876,1.696812243
38,100,150,2764,1.646908693
39,100,150,3348,1.781036684
40,100,150,-2,1.8429561369999998
41,100,150,3072,1.722664702
42,100,150,3548,1.821926974
43,100,150,3829,1.756823118
44,100,150,3921,1.88155698
45,100,150,3238,2.19711822
46,100,150,-1,2.279543426
47,100,150,3115,1.753210507
48,100,150,3569,1.828082899
49,100,150,3322,1.847378583
50,100,150,-2,2.2027822169999998
51,100,150,3701,2.460409598
52,100,150,3797,2.117276335
53,100,150,3867,1.8084148430000002
54,100,150,3318,1.74284966
55,100,150,-1,2.173795744
56,100,150,3579,2.609620526
57,100,150,2817,2.43855105
58,100,150,2789,2.002235422
59,100,150,3963,1.942167386
60,100,150,3242,1.905477215
61,100,150,-1,2.627278557
62,100,150,2964,2.35500194
63,100,150,3311,2.34059984
64,100,150,3972,2.143093558
65,100,150,-1,1.662399093
66,100,150,3782,1.788036074
67,100,150,-1,1.721227412
68,100,150,3482,1.814757935
69,100,150,3922,1.989676291
70,100,150,3899,1.8556964390000001
71,100,150,3666,1.836481085
72,100,150,3655,2.117517586
73,100,150,3855,1.809290567
74,100,150,-1,1.658995976
75,100,150,3828,1.7140233790000001
76,100,150,3396,1.616665586
77,100,150,3365,1.588380844
78,100,150,-1,1.61213525
79,100,150,3500,1.843620192
80,100,150,3892,2.202356382
81,100,150,-1,1.851369922
82,100,150,3342,1.6970803269999999
83,100,150,3464,1.86693061
84,100,150,-1,2.261086944
85,100,150,3219,2.2065385319999997
86,100,150,3426,1.998553591
87,100,150,3912,1.772583368
88,100,150,-1,1.837959548
89,100,150,-1,1.918152038
90,100,150,3312,1.832438176
91,100,150,-1,2.312025861
92,100,150,3452,1.867400019
93,100,150,3671,1.700022134
94,100,150,3294,1.710933822
95,100,150,3911,2.119446592
96,100,150,2831,1.678762902
97,100,150,4164,1.717137839
98,100,150,-2,1.924104462
99,100,150,3536,1.852191699
