,variables,clauses,fitness,duration
0,100,150,4471,0.466243334
1,100,150,3843,0.491163406
2,100,150,3984,0.48540476
3,100,150,4408,0.471084915
4,100,150,3598,0.45795816100000003
5,100,150,3380,0.46165342
6,100,150,3965,0.45649177799999996
7,100,150,3756,0.438910026
8,100,150,4271,0.45393827600000003
9,100,150,4120,0.438486715
10,100,150,4067,0.45127074
11,100,150,3876,0.465643717
12,100,150,4096,0.453317952
13,100,150,4247,0.430699988
14,100,150,4281,0.47047925799999996
15,100,150,3705,0.451035553
16,100,150,4185,0.464780145
17,100,150,4565,0.444216345
18,100,150,4097,0.436448887
19,100,150,4308,0.47530784299999995
20,100,150,4336,0.434737
21,100,150,4639,0.43062583200000004
22,100,150,3781,0.458766505
23,100,150,4260,0.48311869700000004
24,100,150,4041,0.446514662
25,100,150,4017,0.464785866
26,100,150,4085,0.460624295
27,100,150,4148,0.449976128
28,100,150,4236,0.47571734
29,100,150,4254,0.48871899
30,100,150,4144,0.499419082
31,100,150,4009,0.44317672700000005
32,100,150,4228,0.447025293
33,100,150,4054,0.534260535
34,100,150,4492,0.814435644
35,100,150,4224,1.161410489
36,100,150,3931,0.5754224520000001
37,100,150,3936,0.876455733
38,100,150,3249,0.510593337
39,100,150,3603,0.5788246420000001
40,100,150,4085,0.537535625
41,100,150,3674,0.516010572
42,100,150,3742,0.540626417
43,100,150,4002,0.49307862399999997
44,100,150,4179,0.497304112
45,100,150,3973,0.47444625799999995
46,100,150,4143,0.49665825700000005
47,100,150,3672,0.487481512
48,100,150,3602,0.49086771700000004
49,100,150,4213,0.48837557299999995
50,100,150,4745,0.449356317
51,100,150,4059,0.47354959799999996
52,100,150,4075,0.44922988
53,100,150,4477,0.47099821299999994
54,100,150,3772,0.465639446
55,100,150,3673,0.44885438
56,100,150,4133,0.420454714
57,100,150,3760,0.43952918
58,100,150,3998,0.457706994
59,100,150,4239,0.46905167200000003
60,100,150,4106,0.472381548
61,100,150,3433,0.466390409
62,100,150,4434,0.446862461
63,100,150,4631,0.48006370600000003
64,100,150,4478,0.476630061
65,100,150,4174,0.438915004
66,100,150,3885,0.45741927200000004
67,100,150,4407,0.46366496100000004
68,100,150,3825,0.459166446
69,100,150,4523,0.453671438
70,100,150,3720,0.44514391600000003
71,100,150,4768,0.437177489
72,100,150,4460,0.45384280200000005
73,100,150,4401,0.459304978
74,100,150,4568,0.44348874299999996
75,100,150,4657,0.429671686
76,100,150,3847,0.44130289100000003
77,100,150,4228,0.43368089600000004
78,100,150,4174,0.437929057
79,100,150,4212,0.457155019
80,100,150,4336,0.44718998
81,100,150,4029,0.45583509200000005
82,100,150,4066,0.448145147
83,100,150,4496,0.442849145
84,100,150,4059,0.471204475
85,100,150,4126,0.466723609
86,100,150,4008,0.47350322899999997
87,100,150,4261,0.461968899
88,100,150,4347,0.444453731
89,100,150,3776,0.444697981
90,100,150,4337,0.447275136
91,100,150,3644,0.452740535
92,100,150,3789,0.465015478
93,100,150,4250,0.463715473
94,100,150,4052,0.421607325
95,100,150,4128,0.456039039
96,100,150,3367,0.43551179
97,100,150,4455,0.461549899
98,100,150,4170,0.566677957
99,100,150,4158,0.469050811
