,variables,clauses,fitness,duration
0,100,150,4030,15.432041927
1,100,150,3461,14.868135373
2,100,150,3123,15.166201249
3,100,150,3850,15.918325722999999
4,100,150,2865,15.090267929000001
5,100,150,3193,15.274471707
6,100,150,-1,15.038123409
7,100,150,3783,14.953828753
8,100,150,3322,15.042123768
9,100,150,3127,15.042078689
10,100,150,2715,14.908379808
11,100,150,4248,15.501784677
12,100,150,3587,15.449926500000002
13,100,150,3772,14.767526067999999
14,100,150,3521,15.920613349000002
15,100,150,3992,15.379756595
16,100,150,3831,15.653475613
17,100,150,3473,15.293678522
18,100,150,3440,15.374300694
19,100,150,3456,15.129433058
20,100,150,-1,14.364071352
21,100,150,3774,14.852727500999999
22,100,150,3158,14.701851104000001
23,100,150,3623,15.331164619
24,100,150,3433,15.010821200999999
25,100,150,2971,15.335385997000001
26,100,150,3795,15.680691989000001
27,100,150,3553,15.425440833
28,100,150,-1,14.967015379000001
29,100,150,3321,15.762623817
30,100,150,3142,15.765998683
31,100,150,4129,14.756337405
32,100,150,3504,15.244865782
33,100,150,3626,14.573892608
34,100,150,3632,14.818363542
35,100,150,-1,14.661123674
36,100,150,3835,15.821538643
37,100,150,3671,15.52159024
38,100,150,2421,14.563044937
39,100,150,3400,15.303332309000002
40,100,150,3625,15.971185449000002
41,100,150,3260,14.823986856
42,100,150,2578,15.943762117
43,100,150,3381,15.003864254000002
44,100,150,3745,15.653218095
45,100,150,3163,15.089228916
46,100,150,4024,15.406057800000001
47,100,150,3003,15.315355658
48,100,150,2940,15.490260595
49,100,150,3296,14.96735459
50,100,150,3778,15.564365843
51,100,150,2697,14.77345274
52,100,150,2815,14.547826069000001
53,100,150,3499,15.511686105999999
54,100,150,3630,15.890603107999999
55,100,150,3556,15.411594572
56,100,150,-1,14.162068350999999
57,100,150,2799,14.98718243
58,100,150,-1,15.145959250999999
59,100,150,3515,15.687031270999999
60,100,150,2898,15.112803617
61,100,150,3503,15.436893780999998
62,100,150,3743,14.91868485
63,100,150,-1,15.567663155
64,100,150,3864,15.86794974
65,100,150,3489,15.293412925999998
66,100,150,2705,15.518845490999999
67,100,150,-1,15.279078645999999
68,100,150,3824,15.669405225
69,100,150,3632,15.366306784
70,100,150,3780,15.201216525
71,100,150,4361,15.446992341
72,100,150,3179,15.526303512
73,100,150,-1,15.404154702000001
74,100,150,3276,15.256014172999999
75,100,150,3940,14.977713942000001
76,100,150,3555,15.191049377999999
77,100,150,3305,14.754369736
78,100,150,3711,15.135672264
79,100,150,3560,15.773417098
80,100,150,-2,15.240419059
81,100,150,-1,15.752143455
82,100,150,-1,15.81094998
83,100,150,4051,15.078659670999999
84,100,150,3555,15.807989762
85,100,150,3498,15.205014748
86,100,150,3531,16.086732579
87,100,150,3950,15.792102497
88,100,150,3928,15.618029137
89,100,150,4082,15.252042674
90,100,150,3833,15.162049172
91,100,150,3625,16.020179949
92,100,150,-1,15.702170709
93,100,150,3685,15.583278235
94,100,150,3450,14.284042500999998
95,100,150,4214,15.60441118
96,100,150,1936,14.753120269000002
97,100,150,4190,16.180045618
98,100,150,2669,15.49923108
99,100,150,-1,15.133559294000001
