,variables,clauses,fitness,duration
0,100,150,4112,5.297222025
1,100,150,-1,5.10161716
2,100,150,-1,5.261749964
3,100,150,-1,5.433959152000001
4,100,150,2996,5.171207298000001
5,100,150,2772,5.219545891
6,100,150,3467,5.427156366
7,100,150,-1,5.060880282
8,100,150,3388,5.203807307
9,100,150,2304,5.116199226
10,100,150,3050,5.297430845
11,100,150,3322,5.316332733
12,100,150,3443,5.29097647
13,100,150,3707,5.053596532
14,100,150,2658,5.472360877000001
15,100,150,3352,5.242898396
16,100,150,3391,5.387915412000001
17,100,150,3984,5.219981862
18,100,150,-1,5.256015806000001
19,100,150,-1,5.19096633
20,100,150,4007,5.068661425
21,100,150,-1,5.02909823
22,100,150,3173,5.17750202
23,100,150,4037,5.3087726260000005
24,100,150,2824,5.128496984
25,100,150,3825,5.304723806
26,100,150,-1,5.372284127
27,100,150,3858,5.289409802
28,100,150,3564,5.23330241
29,100,150,3522,5.379536459
30,100,150,3607,5.418610437000001
31,100,150,3623,5.056997062
32,100,150,3399,5.261413195
33,100,150,3599,4.98982397
34,100,150,3270,5.204082975
35,100,150,3645,5.153928574
36,100,150,3513,5.450879396
37,100,150,3685,5.383058841
38,100,150,3066,5.0992008669999995
39,100,150,3633,5.276555335
40,100,150,2869,5.454429877000001
41,100,150,-1,5.0779428730000005
42,100,150,-1,5.500271572000001
43,100,150,3540,5.15850669
44,100,150,3692,5.369887962000001
45,100,150,3109,5.219370769
46,100,150,-1,5.328102689
47,100,150,3564,5.1693956430000005
48,100,150,3522,5.324375761000001
49,100,150,2376,5.196123438
50,100,150,3074,5.294321325
51,100,150,-1,5.114136707
52,100,150,3348,5.068202316
53,100,150,4088,5.422352428
54,100,150,3198,5.382204977000001
55,100,150,3855,5.252775033
56,100,150,-1,4.964148766
57,100,150,-1,5.2213007010000005
58,100,150,3333,5.298972564
59,100,150,3742,5.329552174
60,100,150,3743,5.229300867
61,100,150,3491,5.2581418310000005
62,100,150,-1,5.058338494
63,100,150,3513,5.438565542999999
64,100,150,4447,5.39421787
65,100,150,-1,5.1830157130000005
66,100,150,3531,5.372400524
67,100,150,2998,5.291165643
68,100,150,3879,5.390115754
69,100,150,-1,5.269570058999999
70,100,150,3698,5.211127525
71,100,150,4347,5.3045633169999995
72,100,150,3582,5.298234752
73,100,150,3550,5.3636563719999995
74,100,150,3257,5.235083108
75,100,150,3650,5.055638097
76,100,150,3516,5.135506676
77,100,150,3148,5.082143384
78,100,150,3110,5.161908486000001
79,100,150,3823,5.422332001
80,100,150,3493,5.2915070570000005
81,100,150,-2,5.1758818
82,100,150,3154,5.023694951
83,100,150,4072,5.05445725
84,100,150,-2,5.357277041000001
85,100,150,-1,5.17836948
86,100,150,-1,5.445034691
87,100,150,4092,5.361400164
88,100,150,3712,5.230875284
89,100,150,3330,5.284509903
90,100,150,3779,5.200213667
91,100,150,2840,5.411668532
92,100,150,3355,5.434648564
93,100,150,3640,5.281164045
94,100,150,-1,4.831535902
95,100,150,-1,5.28660733
96,100,150,-2,5.079511799
97,100,150,3799,5.459504617
98,100,150,-1,5.32045922
99,100,150,3909,5.276653191
