,variables,clauses,fitness,duration
0,100,150,3849,6.926293384
1,100,150,3821,6.773983855
2,100,150,3068,6.88197974
3,100,150,3705,7.061158487
4,100,150,2738,6.856615361
5,100,150,3110,6.828481373
6,100,150,3815,6.883984092
7,100,150,3687,6.666909586
8,100,150,3707,6.779222457
9,100,150,-1,6.6224871510000005
10,100,150,3493,6.85838156
11,100,150,-1,6.901917511000001
12,100,150,3760,6.841269613
13,100,150,3805,6.5365815320000005
14,100,150,3602,7.0225301710000005
15,100,150,3368,6.72409527
16,100,150,-1,7.03845695
17,100,150,-1,6.6848733760000005
18,100,150,2932,6.879412785
19,100,150,3686,6.752097135
20,100,150,4047,6.631162856
21,100,150,3394,6.493929736
22,100,150,3544,6.590834859
23,100,150,-1,6.797941214
24,100,150,3124,6.64051266
25,100,150,3278,6.85741672
26,100,150,-1,6.889706315
27,100,150,3645,6.8330538910000005
28,100,150,3746,6.823132821000001
29,100,150,-1,6.911149901
30,100,150,-1,7.103759846
31,100,150,3163,6.557457587999999
32,100,150,3420,6.770158542000001
33,100,150,3398,6.48474849
34,100,150,4051,6.633258364
35,100,150,3388,6.631712675
36,100,150,3729,7.006647612
37,100,150,-1,6.848536204
38,100,150,-1,6.488638527999999
39,100,150,2506,6.790948926
40,100,150,3295,7.0575685429999995
41,100,150,2805,6.675129638
42,100,150,3553,7.271975555
43,100,150,3797,6.674946527
44,100,150,3969,6.986632556
45,100,150,-1,6.665548877999999
46,100,150,-1,6.815947831
47,100,150,3901,6.753132186
48,100,150,3400,6.982921068
49,100,150,3473,6.827690415
50,100,150,-1,6.89696309
51,100,150,-1,6.677224014
52,100,150,3570,6.644666466
53,100,150,3444,6.920666822
54,100,150,3653,7.0118563720000004
55,100,150,3606,6.818805432
56,100,150,4257,6.5259493840000005
57,100,150,-1,6.815910229
58,100,150,-2,7.028596455
59,100,150,4096,7.133439856
60,100,150,3611,7.062643981
61,100,150,3105,7.122383245
62,100,150,3361,6.7818008800000005
63,100,150,3989,7.377478784
64,100,150,3983,7.448578631
65,100,150,2821,7.085175592000001
66,100,150,3132,7.199392552000001
67,100,150,3348,7.279818184
68,100,150,4049,7.251183592
69,100,150,3744,7.023935557000001
70,100,150,3460,6.909357003999999
71,100,150,3857,6.977477033
72,100,150,-1,7.089456468
73,100,150,2809,7.259145257999999
74,100,150,-2,6.9037303
75,100,150,3818,6.723072565
76,100,150,-1,6.790439405
77,100,150,3382,6.978511016000001
78,100,150,3097,7.110430021
79,100,150,4022,7.212749541
80,100,150,3642,7.004117623
81,100,150,-1,6.790105662999999
82,100,150,2897,6.694733642999999
83,100,150,3570,6.5706314500000005
84,100,150,2927,7.074520796
85,100,150,3440,6.877916491000001
86,100,150,3158,7.208264654
87,100,150,3673,7.050190675
88,100,150,3951,6.947803837
89,100,150,-1,6.819332137999999
90,100,150,2994,6.82138965
91,100,150,3453,7.227185692999999
92,100,150,3388,7.224340139
93,100,150,3458,7.101010362999999
94,100,150,-1,6.413314216
95,100,150,3526,6.9417815130000005
96,100,150,-1,6.645255652
97,100,150,3570,7.210614949
98,100,150,3262,7.092250967999999
99,100,150,3789,6.986735179
