,variables,clauses,fitness,duration
0,100,150,3475,4.132654039
1,100,150,3559,4.7129906660000005
2,100,150,3921,4.255601707
3,100,150,3908,5.637926592
4,100,150,2740,4.127829641
5,100,150,3025,4.328081708
6,100,150,3484,4.3893985319999995
7,100,150,3890,3.913294853
8,100,150,3941,4.115453597
9,100,150,2573,3.898823502
10,100,150,3682,3.980016501
11,100,150,4404,4.03362819
12,100,150,4068,4.094210178
13,100,150,3104,5.092818998
14,100,150,4324,4.680871852
15,100,150,-1,4.154034844
16,100,150,4194,4.2547449319999995
17,100,150,3587,4.173041016
18,100,150,3559,4.182499429
19,100,150,-1,4.343648772
20,100,150,3107,4.047642155
21,100,150,3326,3.8183426480000002
22,100,150,3459,3.81774486
23,100,150,-1,3.948501767
24,100,150,3023,3.8805743410000004
25,100,150,3300,4.146950073
26,100,150,3563,4.483940657
27,100,150,3314,4.247043211
28,100,150,2937,4.631867766
29,100,150,3482,4.14666272
30,100,150,2996,4.038027861000001
31,100,150,-1,3.807441173
32,100,150,3444,3.962452875
33,100,150,3137,3.787060481
34,100,150,3878,4.07360172
35,100,150,3525,4.115068063
36,100,150,3462,4.328019145
37,100,150,-1,4.065194709
38,100,150,2943,3.99013184
39,100,150,3617,4.107909328
40,100,150,3685,4.171091231
41,100,150,3176,3.848000654
42,100,150,3353,4.204020478
43,100,150,-1,3.890741411
44,100,150,3774,4.211700542
45,100,150,2338,4.091352476
46,100,150,3733,4.051659417
47,100,150,3462,3.931203959
48,100,150,3762,4.174090373
49,100,150,3232,4.043245273
50,100,150,4174,4.188180241
51,100,150,2500,4.071409773
52,100,150,3381,4.242991373
53,100,150,-1,4.272022875
54,100,150,3022,4.059689437
55,100,150,-1,4.0982902580000005
56,100,150,3389,3.809954004
57,100,150,3427,4.142515718
58,100,150,2633,4.471154503
59,100,150,-2,4.392699995
60,100,150,3925,4.43102425
61,100,150,3711,4.092311681
62,100,150,3744,3.782027321
63,100,150,2970,4.0323454
64,100,150,3131,4.024390526
65,100,150,-1,3.875264708
66,100,150,3577,4.068988893999999
67,100,150,3809,4.028695058
68,100,150,3411,4.187064978
69,100,150,3585,4.0659376069999995
70,100,150,2732,4.096799796
71,100,150,4094,4.115135345
72,100,150,-1,4.035849823
73,100,150,3126,4.055111394
74,100,150,-1,3.9273557639999996
75,100,150,3349,3.761069931
76,100,150,-1,3.8007395839999996
77,100,150,3140,3.845614565
78,100,150,3815,4.00162767
79,100,150,-1,3.991493742
80,100,150,3674,3.95414467
81,100,150,3228,3.8733694639999996
82,100,150,3794,3.7899081669999997
83,100,150,3795,3.714789389
84,100,150,4114,4.005430789
85,100,150,4648,3.872087487
86,100,150,2622,4.1300447590000005
87,100,150,3570,3.982292335
88,100,150,3143,3.9219068480000003
89,100,150,3420,3.879948553
90,100,150,-1,3.849225969
91,100,150,3408,4.027167563
92,100,150,3695,4.048551838
93,100,150,-1,3.9312854880000003
94,100,150,3676,3.592462931
95,100,150,-1,3.916323574
96,100,150,2541,3.7686758389999997
97,100,150,3886,4.053951102
98,100,150,2080,3.9948428839999996
99,100,150,-1,3.910001561
